repo_owner,repo_name,complexity_score,success
kimtaeyeon04,TeamPro_5-frontend,24,True
opencloudos-stream,libXext,2,True
OPEN-ENT-NG,support,21,True
jina-ai,executor-glb-crafter,25,True
src-openeuler,python-baluhn,9,True
src-anolis-sig,noslate-anode,4,True
OHIF,react-vtkjs-viewport,64,True
src-openeuler,python-fabulous,9,True
EsreverWoW,ShestakUI_Classic,38,True
pintheworld,pintheworld,35,True
DUNE,dune-tms,148,True
geocollections,geokirjandus,126,True
tbriany,Carry,18,True
Jeff-Paul-Greco,Project-2,40,True
commitay,homebrew-cask,2020,True
hanfel-dovned,Skyview,40,True
Arquisoft,radarin_en2a,52,True
wso2,apim-apps,40,True
SociallyCompute,MizzouSENG,8,True
etherealgloriaw,ae86-team-car2share,28,True
mozilla,thimble-homepage-gallery,2,True
src-openeuler,xprop,9,True
bjornblissing,osgoculusviewer,65,True
olumayor99,Kadivi,2,True
manabr0w,DB_COURSE_WORK,14,True
src-openeuler,python-scripttest,8,True
IBM,Voice2Series-Reprogramming,78,True
trackstarhq,documentation,66,True
ishandeveloper,Coursify-hacktoberfest,24,True
sul-dlss,dor_indexing_app,58,True
aws-ia,cfn-ps-cisco-duo-network-gateway,21,True
mahdiguermache,transition,60,True
airbnb,lottie-spm,10,True
opencloudos-stream,ocaml-calendar,2,True
src-openeuler,xacro,9,True
blockchain-jd-com,jdchain-indexer,90,True
wlk-dev,shift-tracker,12,True
CUWesternBlister,CommunityReviews,90,True
harvard-library,archivesspace,205,True
ivergil,grocery-list,40,True
JananiVijaykumar,BJC-Teacher-Tracker,54,True
heettae,TravelInMap,3,True
tothbence9922,Heartloc,16,True
jenkinsci,javax-activation-api-plugin,10,True
simibubi,Above-and-Beyond,242,True
srinibasbiswal,HacktoberProfile,24,True
src-openeuler,perl-XML-Tiny,8,True
src-openeuler,python-smartypants,9,True
SergioAlejandroM,Proyecto-NYC-Taxis,97,True
ferrolho,feup-ldso,28,True
newrelic,newrelic-infra-checkers,28,True
jonathanParamo,storageAdministration,36,True
FilipRechtoris,git_workshop_wta12,70,True
hashicorp,waypoint-template-go-protobuf-api,23,True
AvengersTraining,pets-nuxtjs,82,True
DuendeSoftware,docs.duendesoftware.com,28,True
joinpursuit,css_grid_exercise,12,True
hyperledger,iroha-javascript,46,True
adobe,parliament-source-jsonschema,20,True
microsoft,.github,30,True
